10	-0.000384121 0.00413137 0.0028435 0.00859238 -0.00948426 -0.00632088 -0.00561003 -3.94105e-05 -0.00134106 0.0050011 -0.00427178 0.00291095 -0.00736336 0.00514799 0.00148542 0.00336844 -0.000417011 0.00812906 -0.00886027 -0.00853292 -0.00541447 -0.00327625 0.00265179 -0.00416774 0.00462418 0.00670249 0.00134581 -0.00976489 -0.00450379 -0.00457751 -0.00230627 8.03698e-05 -0.00886865 0.0024688 -0.0051901 0.00273078 0.00903748 0.00184819 0.00180244 0.00648136 0.00691644 -0.00585104 -0.00904533 0.00982645 -0.00614546 0.00917687 0.00733741 -0.000190195 -0.00579863 -0.00107474 
11	0.00210393 -0.000784772 -0.00789249 0.00813623 0.00533432 -0.00213913 -0.00309179 0.00316261 0.00664009 -0.00547102 0.00427839 -0.00268559 -0.00894758 -0.00145187 0.000707245 0.00896827 -0.00341689 -0.00781135 -0.00555102 0.00225007 0.00851993 0.00299897 -0.00575325 0.00213307 0.00159735 0.00901368 -0.00539022 -0.00482768 3.34561e-05 0.00328809 -0.00189134 0.00923336 -0.00843394 0.00241896 -0.00405672 -0.00388696 0.00583841 -0.00633804 0.00935464 -0.00584841 -0.00666808 0.00588205 -0.00311292 0.00413146 -0.00648222 -0.00852718 -0.00433448 -0.00997528 0.00181018 0.00825156 
12	-0.0063534 0.00586017 0.00016061 -0.00168927 -0.00745708 -0.00563624 -0.00923095 -0.000903306 -0.00204207 -0.00399835 8.57803e-05 -0.00124193 -0.00667765 0.0101657 0.0095147 -0.0067483 0.00719008 -0.00850002 0.00920538 -0.00109941 -0.000236612 0.00575274 -0.00455005 0.00534553 0.00243833 -0.00180997 -0.00468197 -0.00736958 0.00700511 0.0046133 -0.00715193 -0.00498878 0.00264622 -0.00489821 0.00539969 0.000147669 -0.00148672 -0.0069097 0.00753243 -0.00391395 0.00859937 -0.00256886 0.00245988 -0.00741792 -0.00654966 -0.00402887 0.00715423 0.00260629 -0.0047063 -0.00490468 
13	0.00934853 -0.00752985 -0.00103865 -0.00978188 -0.00975391 -0.00205718 -0.00559338 -0.00224671 0.00690808 -0.00102962 0.00106013 -0.004083 0.00663473 -0.00492199 -0.00703233 0.000807361 0.00982683 0.0057086 -0.000197284 -0.0097646 0.00470794 0.00622603 0.00232423 0.00182996 0.000135646 -0.0061843 0.0063676 -0.00166755 -0.00962412 -0.00576782 0.00110533 -0.00796534 -0.0031208 0.00253391 -0.00308278 -0.00434419 0.00687793 -0.00756654 -0.00610914 -0.00337128 0.00542462 0.00333509 0.00919909 0.0101136 -0.000799424 0.00858585 -0.00931619 0.00510741 -0.00011992 0.00954711 
14	-0.00839084 -0.0108115 0.000274851 0.00117243 0.00945903 -0.00776117 -0.00568486 0.0078768 -0.00622521 0.00233047 -0.00730079 -0.0045847 -0.00179532 0.00775051 0.0064963 0.00655378 0.00867308 -0.0101398 0.00603306 -0.00392215 0.00317039 -0.000428504 -0.00967402 0.00204821 0.00601464 0.00446778 0.00841482 0.0080267 0.000217835 0.000182123 0.00590203 -0.00757284 -0.00188045 0.00604617 0.00614217 0.00704909 -0.00985978 -0.00207349 -0.00403534 0.00582174 0.00220156 0.0077307 -0.00502568 0.00111265 8.85199e-06 -0.00877116 -0.00741251 0.00308269 0.00040521 -0.0102229 
15	0.00319951 -0.010849 0.000550368 0.00373091 -4.38619e-05 0.00647206 0.00847745 0.00790184 0.00595253 0.00485667 0.00132821 0.00234671 -0.00340233 0.00348734 -0.00601985 -0.00456756 -0.00324292 -0.00314838 -0.00263215 0.00769059 0.0025092 -0.00751642 -0.000306676 -0.0049598 0.00516813 0.00361095 0.00773493 -0.00610542 -0.00588563 0.00471318 0.00646849 0.00136396 -0.00931311 -0.00638862 -0.00923236 -0.00491299 0.00952374 0.0053863 -0.00742454 -0.000774834 -0.00725829 -0.00639744 -0.00127813 0.000935813 -0.00295241 0.00913014 0.00933524 -0.00374758 -0.00606605 0.00560765 
16	-0.00212567 -0.00782031 0.00197299 -0.00264 -0.00461442 -0.00294799 -0.00092175 -0.00426226 -0.00261475 0.00893063 -0.00360761 -0.00849485 0.00740922 -0.00394528 -0.00618988 -0.0036937 0.00161976 -0.00642315 -0.00368735 -0.00269307 -0.00923075 0.0043245 -0.00199613 -0.00219268 0.00659706 -0.00547015 0.00520828 6.25662e-05 0.00369521 -0.0053845 0.00816481 0.0089585 -0.00317458 -0.000532854 0.00927646 -0.00182014 -0.00594713 0.000360488 0.00697016 -0.00056889 0.00521458 0.0011641 -0.00683759 0.00921501 -0.00327712 -0.00407388 -0.00946396 -0.00659334 -0.00558252 -0.00155279 
17	-0.00627072 -0.00348798 -0.000496494 -0.00256548 -0.000267588 0.00617042 -0.000658103 -0.00778497 -0.00638041 -0.00971977 0.00395235 0.00669518 -0.0070915 0.00688822 -0.00133539 0.00626911 0.00443371 0.00299117 0.00307906 -0.00572875 -0.00647527 -0.00324579 -0.00422432 -0.00779761 0.00269969 0.0029071 0.00349297 0.000929389 0.0067024 -0.000381578 -0.00545938 0.00536227 0.00385294 -0.00542957 0.00131007 0.0100025 0.00485851 0.00872993 -0.000850841 -0.0082094 -0.00471574 0.0085967 0.000181123 -0.00638524 0.000424836 0.00643963 -0.00984275 -0.000945596 0.00491934 -0.00287191 
18	0.0102041 0.00222097 -0.00135021 0.00571195 -0.00159983 -0.00249666 -0.00354441 -0.00380962 -0.00297719 0.00452812 0.00732029 -0.00984513 -0.00661237 0.00236317 0.00989012 -0.00448534 -0.00661378 0.00587057 -0.00548502 -0.0045884 -0.00401306 -0.000265218 -0.00490098 0.00823839 0.00265021 0.0075763 0.0056937 -0.00167307 -0.00797086 0.00679271 -0.00165 -0.00243584 0.00537421 -0.0037389 -0.000520299 0.00299878 -0.00444344 0.00881826 0.00787583 -0.00967183 -0.0063201 -0.00655677 0.00554143 -0.00410934 -0.00623693 0.0079658 -0.00631704 -0.00331993 0.00781219 0.00756512 
19	0.00220103 -0.00328191 0.00828268 0.00721058 0.00677878 0.00883766 0.00606083 0.0066799 0.00361156 0.00689372 0.00790213 0.00463543 -0.00827013 0.00144263 0.00738015 0.000106583 0.00919907 -0.00314062 -0.00621651 -0.00473646 -0.0080377 -0.00221212 -0.00612233 0.00554917 0.000334266 0.00700817 -0.00517539 0.00258035 -0.00621077 0.00779057 -0.00468912 0.00873456 0.00849659 0.00337479 -0.00245505 0.0081327 0.00138009 -0.00556474 -0.00647147 0.00760884 0.00702914 0.00757119 -0.00965007 -0.00144505 -0.00619037 0.00497384 -0.00617346 -0.00924292 -0.00372143 -0.00534461 
